지역,측정소명,날짜,아황산가스 농도
춘천시,중앙로,2022-08-01,0.003
춘천시,석사동,2022-08-01,0.002
춘천시,신사우동,2022-08-01,0.002
양구군,양구읍,2022-08-01,0.002
원주시,중앙동,2022-08-01,0.003
원주시,반곡동,2022-08-01,0.003
원주시,문막읍,2022-08-01,0.001
원주시,지정면,2022-08-01,0.002
강릉시,주문진읍,2022-08-01,0.003
강릉시,옥천동,2022-08-01,0.003
동해시,천곡동,2022-08-01,0.002
삼척시,남양동,2022-08-01,0.002
평창군,평창읍,2022-08-01,0.002
정선군,정선읍,2022-08-01,0.001
횡성군,횡성읍,2022-08-01,0.002
고성군,상리,2022-08-01,0.002
양양군,양양읍,2022-08-01,0.002
속초시,금호동,2022-08-01,0.002
철원군,갈말읍,2022-08-01,0.002
홍천군,홍천읍,2022-08-01,0.001
영월군,영월읍,2022-08-01,0.002
화천군,화천읍,2022-08-01,0.002
태백시,황지동,2022-08-01,0.003
인제군,인제읍,2022-08-01,0.001
춘천시,중앙로,2022-08-02,0.001
춘천시,석사동,2022-08-02,0.002
춘천시,신사우동,2022-08-02,0.002
양구군,양구읍,2022-08-02,0.001
원주시,중앙동,2022-08-02,0.002
원주시,반곡동,2022-08-02,0.003
원주시,문막읍,2022-08-02,0.001
원주시,지정면,2022-08-02,0.002
강릉시,주문진읍,2022-08-02,0.002
강릉시,옥천동,2022-08-02,0.003
동해시,천곡동,2022-08-02,0.002
삼척시,남양동,2022-08-02,0.002
평창군,평창읍,2022-08-02,0.002
정선군,정선읍,2022-08-02,0.001
횡성군,횡성읍,2022-08-02,0.001
고성군,상리,2022-08-02,0.002
양양군,양양읍,2022-08-02,0.002
속초시,금호동,2022-08-02,0.002
철원군,갈말읍,2022-08-02,0.002
홍천군,홍천읍,2022-08-02,0.001
영월군,영월읍,2022-08-02,0.002
화천군,화천읍,2022-08-02,0.002
태백시,황지동,2022-08-02,0.002
인제군,인제읍,2022-08-02,0.001
춘천시,중앙로,2022-08-03,0.001
춘천시,석사동,2022-08-03,0.002
춘천시,신사우동,2022-08-03,0.002
양구군,양구읍,2022-08-03,0.001
원주시,중앙동,2022-08-03,0.002
원주시,반곡동,2022-08-03,0.002
원주시,문막읍,2022-08-03,0.001
원주시,지정면,2022-08-03,0.002
강릉시,주문진읍,2022-08-03,0.002
강릉시,옥천동,2022-08-03,0.003
동해시,천곡동,2022-08-03,0.011
삼척시,남양동,2022-08-03,0.006
평창군,평창읍,2022-08-03,0.002
정선군,정선읍,2022-08-03,0.001
횡성군,횡성읍,2022-08-03,0.001
고성군,상리,2022-08-03,0.002
양양군,양양읍,2022-08-03,0.002
속초시,금호동,2022-08-03,0.002
철원군,갈말읍,2022-08-03,0.002
홍천군,홍천읍,2022-08-03,0.002
영월군,영월읍,2022-08-03,0.002
화천군,화천읍,2022-08-03,0.002
태백시,황지동,2022-08-03,0.002
인제군,인제읍,2022-08-03,0.001
춘천시,중앙로,2022-08-04,0.001
춘천시,석사동,2022-08-04,0.002
춘천시,신사우동,2022-08-04,0.004
양구군,양구읍,2022-08-04,0.001
원주시,중앙동,2022-08-04,0.002
원주시,반곡동,2022-08-04,0.003
원주시,문막읍,2022-08-04,0.002
원주시,지정면,2022-08-04,0.002
강릉시,주문진읍,2022-08-04,0.002
강릉시,옥천동,2022-08-04,0.003
동해시,천곡동,2022-08-04,0.002
삼척시,남양동,2022-08-04,0.001
평창군,평창읍,2022-08-04,0.002
정선군,정선읍,2022-08-04,0.001
횡성군,횡성읍,2022-08-04,0.001
고성군,상리,2022-08-04,0.002
양양군,양양읍,2022-08-04,0.011
속초시,금호동,2022-08-04,0.002
철원군,갈말읍,2022-08-04,0.005
홍천군,홍천읍,2022-08-04,0.001
영월군,영월읍,2022-08-04,0.002
화천군,화천읍,2022-08-04,0.002
태백시,황지동,2022-08-04,0.002
인제군,인제읍,2022-08-04,0.007
춘천시,중앙로,2022-08-05,0.001
춘천시,석사동,2022-08-05,0.002
춘천시,신사우동,2022-08-05,0.002
양구군,양구읍,2022-08-05,0.002
원주시,중앙동,2022-08-05,0.003
원주시,반곡동,2022-08-05,0.003
원주시,문막읍,2022-08-05,0.001
원주시,지정면,2022-08-05,0.002
강릉시,주문진읍,2022-08-05,0.002
강릉시,옥천동,2022-08-05,0.003
동해시,천곡동,2022-08-05,0.002
삼척시,남양동,2022-08-05,0.001
평창군,평창읍,2022-08-05,0.002
정선군,정선읍,2022-08-05,0.002
횡성군,횡성읍,2022-08-05,0.007
고성군,상리,2022-08-05,0.001
양양군,양양읍,2022-08-05,0.002
속초시,금호동,2022-08-05,0.002
철원군,갈말읍,2022-08-05,0.002
홍천군,홍천읍,2022-08-05,0.001
영월군,영월읍,2022-08-05,0.002
화천군,화천읍,2022-08-05,0.002
태백시,황지동,2022-08-05,0.002
인제군,인제읍,2022-08-05,0.001
춘천시,중앙로,2022-08-06,0.001
춘천시,석사동,2022-08-06,0.002
춘천시,신사우동,2022-08-06,0.002
양구군,양구읍,2022-08-06,0.002
원주시,중앙동,2022-08-06,0.002
원주시,반곡동,2022-08-06,0.003
원주시,문막읍,2022-08-06,0.001
원주시,지정면,2022-08-06,0.002
강릉시,주문진읍,2022-08-06,0.002
강릉시,옥천동,2022-08-06,0.003
동해시,천곡동,2022-08-06,0.002
삼척시,남양동,2022-08-06,0.001
평창군,평창읍,2022-08-06,0.002
정선군,정선읍,2022-08-06,0.001
횡성군,횡성읍,2022-08-06,0.002
고성군,상리,2022-08-06,0.002
양양군,양양읍,2022-08-06,0.002
속초시,금호동,2022-08-06,0.002
철원군,갈말읍,2022-08-06,0.002
홍천군,홍천읍,2022-08-06,0.001
영월군,영월읍,2022-08-06,0.002
화천군,화천읍,2022-08-06,0.002
태백시,황지동,2022-08-06,0.002
인제군,인제읍,2022-08-06,0.001
춘천시,중앙로,2022-08-07,0.001
춘천시,석사동,2022-08-07,0.002
춘천시,신사우동,2022-08-07,0.002
