지역,측정소명,날짜,아황산가스 농도
춘천시,중앙로,2021-10-01,0.002
춘천시,석사동,2021-10-01,0.001
춘천시,신사우동,2021-10-01,0.002
양구군,양구읍,2021-10-01,0.002
원주시,중앙동,2021-10-01,0.003
원주시,반곡동,2021-10-01,0.002
원주시,문막읍,2021-10-01,0.003
원주시,지정면,2021-10-01,0.001
강릉시,옥천동,2021-10-01,0.004
동해시,천곡동,2021-10-01,0.002
삼척시,남양동,2021-10-01,0.003
평창군,평창읍,2021-10-01,0.002
정선군,정선읍,2021-10-01,0.003
횡성군,횡성읍,2021-10-01,0.002
고성군,상리,2021-10-01,0.002
양양군,양양읍,2021-10-01,0.003
속초시,금호동,2021-10-01,0.003
철원군,갈말읍,2021-10-01,0.004
홍천군,홍천읍,2021-10-01,0.003
영월군,영월읍,2021-10-01,0.002
화천군,화천읍,2021-10-01,0.002
태백시,황지동,2021-10-01,0.003
인제군,인제읍,2021-10-01,0.001
춘천시,중앙로,2021-10-02,0.002
춘천시,석사동,2021-10-02,0.001
춘천시,신사우동,2021-10-02,0.002
양구군,양구읍,2021-10-02,0.002
원주시,중앙동,2021-10-02,0.003
원주시,반곡동,2021-10-02,0.002
원주시,문막읍,2021-10-02,0.003
원주시,지정면,2021-10-02,0.001
강릉시,옥천동,2021-10-02,0.003
동해시,천곡동,2021-10-02,0.002
삼척시,남양동,2021-10-02,0.002
평창군,평창읍,2021-10-02,0.002
정선군,정선읍,2021-10-02,0.003
횡성군,횡성읍,2021-10-02,0.002
고성군,상리,2021-10-02,0.001
양양군,양양읍,2021-10-02,0.002
속초시,금호동,2021-10-02,0.003
철원군,갈말읍,2021-10-02,0.004
홍천군,홍천읍,2021-10-02,0.003
영월군,영월읍,2021-10-02,0.002
화천군,화천읍,2021-10-02,0.002
태백시,황지동,2021-10-02,0.003
인제군,인제읍,2021-10-02,0.001
춘천시,중앙로,2021-10-03,0.002
춘천시,석사동,2021-10-03,0.002
춘천시,신사우동,2021-10-03,0.002
양구군,양구읍,2021-10-03,0.002
원주시,중앙동,2021-10-03,0.003
원주시,반곡동,2021-10-03,0.002
원주시,문막읍,2021-10-03,0.003
원주시,지정면,2021-10-03,0.001
강릉시,옥천동,2021-10-03,0.003
동해시,천곡동,2021-10-03,0.002
삼척시,남양동,2021-10-03,0.002
평창군,평창읍,2021-10-03,0.002
정선군,정선읍,2021-10-03,0.003
횡성군,횡성읍,2021-10-03,0.002
고성군,상리,2021-10-03,0.001
양양군,양양읍,2021-10-03,0.002
속초시,금호동,2021-10-03,0.003
철원군,갈말읍,2021-10-03,0.004
홍천군,홍천읍,2021-10-03,0.003
영월군,영월읍,2021-10-03,0.002
화천군,화천읍,2021-10-03,0.002
태백시,황지동,2021-10-03,0.003
인제군,인제읍,2021-10-03,0.001
춘천시,중앙로,2021-10-04,0.002
춘천시,석사동,2021-10-04,0.002
춘천시,신사우동,2021-10-04,0.002
양구군,양구읍,2021-10-04,0.002
원주시,중앙동,2021-10-04,0.003
원주시,반곡동,2021-10-04,0.002
원주시,문막읍,2021-10-04,0.003
원주시,지정면,2021-10-04,0.001
강릉시,옥천동,2021-10-04,0.003
동해시,천곡동,2021-10-04,0.002
삼척시,남양동,2021-10-04,0.002
평창군,평창읍,2021-10-04,0.002
정선군,정선읍,2021-10-04,0.003
횡성군,횡성읍,2021-10-04,0.002
고성군,상리,2021-10-04,0.002
양양군,양양읍,2021-10-04,0.002
속초시,금호동,2021-10-04,0.003
철원군,갈말읍,2021-10-04,0.004
홍천군,홍천읍,2021-10-04,0.003
영월군,영월읍,2021-10-04,0.002
화천군,화천읍,2021-10-04,0.002
태백시,황지동,2021-10-04,0.003
인제군,인제읍,2021-10-04,0.001
춘천시,중앙로,2021-10-05,0.002
춘천시,석사동,2021-10-05,0.002
춘천시,신사우동,2021-10-05,0.002
양구군,양구읍,2021-10-05,0.002
원주시,중앙동,2021-10-05,0.003
원주시,반곡동,2021-10-05,0.002
원주시,문막읍,2021-10-05,0.003
원주시,지정면,2021-10-05,0.001
강릉시,옥천동,2021-10-05,0.003
동해시,천곡동,2021-10-05,0.002
삼척시,남양동,2021-10-05,0.002
평창군,평창읍,2021-10-05,4.424
정선군,정선읍,2021-10-05,2.336
횡성군,횡성읍,2021-10-05,0.002
고성군,상리,2021-10-05,0.001
양양군,양양읍,2021-10-05,0.002
속초시,금호동,2021-10-05,0.003
철원군,갈말읍,2021-10-05,0.004
홍천군,홍천읍,2021-10-05,0.003
영월군,영월읍,2021-10-05,0.002
화천군,화천읍,2021-10-05,0.002
태백시,황지동,2021-10-05,0.003
인제군,인제읍,2021-10-05,0.001
춘천시,중앙로,2021-10-06,0.002
춘천시,석사동,2021-10-06,0.001
춘천시,신사우동,2021-10-06,0.002
양구군,양구읍,2021-10-06,0.002
원주시,중앙동,2021-10-06,0.003
원주시,반곡동,2021-10-06,0.002
원주시,문막읍,2021-10-06,0.003
원주시,지정면,2021-10-06,0.001
강릉시,옥천동,2021-10-06,0.003
동해시,천곡동,2021-10-06,0.002
삼척시,남양동,2021-10-06,0.002
평창군,평창읍,2021-10-06,1.752
정선군,정선읍,2021-10-06,0.002
횡성군,횡성읍,2021-10-06,0.002
고성군,상리,2021-10-06,0.001
양양군,양양읍,2021-10-06,0.002
속초시,금호동,2021-10-06,0.003
철원군,갈말읍,2021-10-06,0.004
홍천군,홍천읍,2021-10-06,0.003
영월군,영월읍,2021-10-06,0.002
화천군,화천읍,2021-10-06,0.002
태백시,황지동,2021-10-06,1.170
인제군,인제읍,2021-10-06,0.001
춘천시,중앙로,2021-10-07,0.002
춘천시,석사동,2021-10-07,0.001
춘천시,신사우동,2021-10-07,0.002
양구군,양구읍,2021-10-07,0.007
원주시,중앙동,2021-10-07,0.003
원주시,반곡동,2021-10-07,0.002
원주시,문막읍,2021-10-07,0.003
원주시,지정면,2021-10-07,0.001
강릉시,옥천동,2021-10-07,0.003
동해시,천곡동,2021-10-07,0.002
삼척시,남양동,2021-10-07,0.002
평창군,평창읍,2021-10-07,0.002
정선군,정선읍,2021-10-07,0.002
횡성군,횡성읍,2021-10-07,0.002
고성군,상리,2021-10-07,0.001
양양군,양양읍,2021-10-07,0.008
속초시,금호동,2021-10-07,0.003
철원군,갈말읍,2021-10-07,0.004
홍천군,홍천읍,2021-10-07,0.003
영월군,영월읍,2021-10-07,1.169
화천군,화천읍,2021-10-07,0.002
태백시,황지동,2021-10-07,0.003
인제군,인제읍,2021-10-07,0.007
춘천시,중앙로,2021-10-08,0.001
춘천시,석사동,2021-10-08,0.001
춘천시,신사우동,2021-10-08,0.012
양구군,양구읍,2021-10-08,0.002
원주시,중앙동,2021-10-08,0.003
원주시,반곡동,2021-10-08,0.002
원주시,문막읍,2021-10-08,0.003
원주시,지정면,2021-10-08,0.001
강릉시,옥천동,2021-10-08,0.003
동해시,천곡동,2021-10-08,0.002
삼척시,남양동,2021-10-08,0.002
평창군,평창읍,2021-10-08,0.002
정선군,정선읍,2021-10-08,0.002
횡성군,횡성읍,2021-10-08,0.002
고성군,상리,2021-10-08,0.001
양양군,양양읍,2021-10-08,0.002
속초시,금호동,2021-10-08,0.003
철원군,갈말읍,2021-10-08,0.004
홍천군,홍천읍,2021-10-08,0.003
영월군,영월읍,2021-10-08,0.002
화천군,화천읍,2021-10-08,0.029
태백시,황지동,2021-10-08,0.003
인제군,인제읍,2021-10-08,0.001
춘천시,중앙로,2021-10-09,0.001
춘천시,석사동,2021-10-09,0.003
춘천시,신사우동,2021-10-09,0.002
양구군,양구읍,2021-10-09,0.002
원주시,중앙동,2021-10-09,0.003
원주시,반곡동,2021-10-09,0.002
원주시,문막읍,2021-10-09,0.003
원주시,지정면,2021-10-09,0.001
강릉시,옥천동,2021-10-09,0.003
동해시,천곡동,2021-10-09,0.002
삼척시,남양동,2021-10-09,0.002
평창군,평창읍,2021-10-09,0.001
정선군,정선읍,2021-10-09,0.002
횡성군,횡성읍,2021-10-09,0.002
고성군,상리,2021-10-09,0.001
양양군,양양읍,2021-10-09,0.002
속초시,금호동,2021-10-09,0.003
철원군,갈말읍,2021-10-09,0.004
홍천군,홍천읍,2021-10-09,0.003
영월군,영월읍,2021-10-09,0.002
화천군,화천읍,2021-10-09,0.002
태백시,황지동,2021-10-09,0.003
인제군,인제읍,2021-10-09,0.001
춘천시,중앙로,2021-10-10,0.001
춘천시,석사동,2021-10-10,0.003
춘천시,신사우동,2021-10-10,0.002
양구군,양구읍,2021-10-10,0.002
원주시,중앙동,2021-10-10,0.003
원주시,반곡동,2021-10-10,0.002
원주시,문막읍,2021-10-10,0.003
원주시,지정면,2021-10-10,0.001
강릉시,옥천동,2021-10-10,0.003
동해시,천곡동,2021-10-10,0.002
삼척시,남양동,2021-10-10,0.002
평창군,평창읍,2021-10-10,0.002
정선군,정선읍,2021-10-10,0.002
횡성군,횡성읍,2021-10-10,0.002
고성군,상리,2021-10-10,0.001
양양군,양양읍,2021-10-10,0.002
속초시,금호동,2021-10-10,0.003
철원군,갈말읍,2021-10-10,0.004
홍천군,홍천읍,2021-10-10,0.003
영월군,영월읍,2021-10-10,0.002
화천군,화천읍,2021-10-10,0.002
태백시,황지동,2021-10-10,0.003
인제군,인제읍,2021-10-10,0.001
춘천시,중앙로,2021-10-11,0.001
춘천시,석사동,2021-10-11,0.002
춘천시,신사우동,2021-10-11,0.002
양구군,양구읍,2021-10-11,0.002
원주시,중앙동,2021-10-11,0.002
원주시,반곡동,2021-10-11,0.001
원주시,문막읍,2021-10-11,0.003
원주시,지정면,2021-10-11,0.001
강릉시,옥천동,2021-10-11,0.003
동해시,천곡동,2021-10-11,0.002
삼척시,남양동,2021-10-11,0.002
평창군,평창읍,2021-10-11,0.001
정선군,정선읍,2021-10-11,0.002
횡성군,횡성읍,2021-10-11,0.002
고성군,상리,2021-10-11,0.002
양양군,양양읍,2021-10-11,0.002
속초시,금호동,2021-10-11,0.003
철원군,갈말읍,2021-10-11,0.004
홍천군,홍천읍,2021-10-11,0.003
영월군,영월읍,2021-10-11,0.002
화천군,화천읍,2021-10-11,0.002
태백시,황지동,2021-10-11,0.003
인제군,인제읍,2021-10-11,0.001
춘천시,중앙로,2021-10-12,0.001
춘천시,석사동,2021-10-12,0.002
춘천시,신사우동,2021-10-12,0.002
양구군,양구읍,2021-10-12,0.002
원주시,중앙동,2021-10-12,0.003
원주시,반곡동,2021-10-12,0.002
원주시,문막읍,2021-10-12,0.003
원주시,지정면,2021-10-12,0.001
강릉시,옥천동,2021-10-12,0.003
동해시,천곡동,2021-10-12,0.002
삼척시,남양동,2021-10-12,0.002
평창군,평창읍,2021-10-12,0.001
정선군,정선읍,2021-10-12,0.002
횡성군,횡성읍,2021-10-12,0.007
고성군,상리,2021-10-12,0.001
양양군,양양읍,2021-10-12,0.002
속초시,금호동,2021-10-12,0.003
철원군,갈말읍,2021-10-12,0.004
홍천군,홍천읍,2021-10-12,0.003
영월군,영월읍,2021-10-12,0.002
화천군,화천읍,2021-10-12,0.002
태백시,황지동,2021-10-12,0.003
