지역,측정소명,날짜,일산화탄소 농도
춘천시,중앙로,2020-07-01,0.2
춘천시,석사동,2020-07-01,0.3
춘천시,신사우동,2020-07-01,0.3
양구군,양구읍,2020-07-01,0.4
원주시,중앙동,2020-07-01,0.3
원주시,반곡동,2020-07-01,0.2
원주시,문막읍,2020-07-01,0.3
강릉시,옥천동,2020-07-01,0.3
동해시,천곡동,2020-07-01,0.2
삼척시,남양동,2020-07-01,0.2
평창군,평창읍,2020-07-01,0.3
정선군,정선읍,2020-07-01,0.3
횡성군,횡성읍,2020-07-01,0.3
고성군,상리,2020-07-01,0.3
양양군,양양읍,2020-07-01,0.3
속초시,금호동,2020-07-01,0.3
철원군,갈말읍,2020-07-01,0.4
홍천군,홍천읍,2020-07-01,0.3
영월군,영월읍,2020-07-01,0.3
화천군,화천읍,2020-07-01,0.3
태백시,황지동,2020-07-01,0.3
인제군,인제읍,2020-07-01,0.3
춘천시,중앙로,2020-07-02,0.3
춘천시,석사동,2020-07-02,0.4
춘천시,신사우동,2020-07-02,0.4
양구군,양구읍,2020-07-02,0.4
원주시,중앙동,2020-07-02,0.3
원주시,반곡동,2020-07-02,0.3
원주시,문막읍,2020-07-02,0.3
강릉시,옥천동,2020-07-02,0.3
동해시,천곡동,2020-07-02,0.3
삼척시,남양동,2020-07-02,0.2
평창군,평창읍,2020-07-02,0.3
정선군,정선읍,2020-07-02,0.3
횡성군,횡성읍,2020-07-02,0.3
고성군,상리,2020-07-02,0.4
양양군,양양읍,2020-07-02,0.4
속초시,금호동,2020-07-02,0.3
철원군,갈말읍,2020-07-02,0.4
홍천군,홍천읍,2020-07-02,0.4
영월군,영월읍,2020-07-02,0.3
화천군,화천읍,2020-07-02,0.3
태백시,황지동,2020-07-02,0.4
인제군,인제읍,2020-07-02,0.3
춘천시,중앙로,2020-07-03,0.3
춘천시,석사동,2020-07-03,0.3
춘천시,신사우동,2020-07-03,0.3
양구군,양구읍,2020-07-03,0.4
