지역,측정소명,날짜,일산화탄소 농도
춘천시,중앙로,2020-08-01,0.2
춘천시,석사동,2020-08-01,0.4
춘천시,신사우동,2020-08-01,0.3
양구군,양구읍,2020-08-01,0.6
원주시,중앙동,2020-08-01,0.3
원주시,반곡동,2020-08-01,0.2
원주시,문막읍,2020-08-01,0.2
강릉시,옥천동,2020-08-01,0.5
동해시,천곡동,2020-08-01,0.7
삼척시,남양동,2020-08-01,0.3
평창군,평창읍,2020-08-01,0.2
정선군,정선읍,2020-08-01,0.5
횡성군,횡성읍,2020-08-01,0.3
고성군,상리,2020-08-01,0.3
양양군,양양읍,2020-08-01,0.3
속초시,금호동,2020-08-01,0.4
철원군,갈말읍,2020-08-01,0.3
홍천군,홍천읍,2020-08-01,0.3
영월군,영월읍,2020-08-01,0.4
화천군,화천읍,2020-08-01,0.7
태백시,황지동,2020-08-01,0.2
인제군,인제읍,2020-08-01,0.6
춘천시,중앙로,2020-08-02,0.2
춘천시,석사동,2020-08-02,0.4
춘천시,신사우동,2020-08-02,0.4
양구군,양구읍,2020-08-02,0.6
원주시,중앙동,2020-08-02,0.3
원주시,반곡동,2020-08-02,0.2
원주시,문막읍,2020-08-02,0.2
강릉시,옥천동,2020-08-02,0.5
동해시,천곡동,2020-08-02,0.4
삼척시,남양동,2020-08-02,0.2
평창군,평창읍,2020-08-02,0.2
정선군,정선읍,2020-08-02,0.4
횡성군,횡성읍,2020-08-02,0.3
고성군,상리,2020-08-02,0.3
양양군,양양읍,2020-08-02,0.3
속초시,금호동,2020-08-02,0.4
철원군,갈말읍,2020-08-02,0.3
홍천군,홍천읍,2020-08-02,0.3
영월군,영월읍,2020-08-02,0.4
화천군,화천읍,2020-08-02,0.7
태백시,황지동,2020-08-02,0.1
인제군,인제읍,2020-08-02,0.6
춘천시,중앙로,2020-08-03,0.2
춘천시,석사동,2020-08-03,0.3
춘천시,신사우동,2020-08-03,0.4
양구군,양구읍,2020-08-03,0.5
원주시,중앙동,2020-08-03,0.3
원주시,반곡동,2020-08-03,0.3
원주시,문막읍,2020-08-03,0.2
강릉시,옥천동,2020-08-03,0.5
동해시,천곡동,2020-08-03,0.2
삼척시,남양동,2020-08-03,0.2
평창군,평창읍,2020-08-03,0.2
정선군,정선읍,2020-08-03,0.4
횡성군,횡성읍,2020-08-03,0.9
고성군,상리,2020-08-03,0.3
양양군,양양읍,2020-08-03,0.3
속초시,금호동,2020-08-03,0.4
철원군,갈말읍,2020-08-03,0.3
홍천군,홍천읍,2020-08-03,0.3
영월군,영월읍,2020-08-03,0.4
화천군,화천읍,2020-08-03,0.8
태백시,황지동,2020-08-03,0.1
인제군,인제읍,2020-08-03,0.6
춘천시,중앙로,2020-08-04,0.2
춘천시,석사동,2020-08-04,0.3
춘천시,신사우동,2020-08-04,0.3
양구군,양구읍,2020-08-04,0.6
원주시,중앙동,2020-08-04,0.3
원주시,반곡동,2020-08-04,0.2
원주시,문막읍,2020-08-04,0.2
강릉시,옥천동,2020-08-04,0.5
동해시,천곡동,2020-08-04,0.3
삼척시,남양동,2020-08-04,0.3
평창군,평창읍,2020-08-04,0.1
정선군,정선읍,2020-08-04,0.4
횡성군,횡성읍,2020-08-04,0.3
고성군,상리,2020-08-04,0.3
양양군,양양읍,2020-08-04,0.9
속초시,금호동,2020-08-04,0.4
철원군,갈말읍,2020-08-04,0.3
홍천군,홍천읍,2020-08-04,0.3
영월군,영월읍,2020-08-04,0.4
화천군,화천읍,2020-08-04,1.2
태백시,황지동,2020-08-04,0.1
인제군,인제읍,2020-08-04,0.5
춘천시,중앙로,2020-08-05,0.2
춘천시,석사동,2020-08-05,0.3
춘천시,신사우동,2020-08-05,0.3
